Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Philippines,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Philippines,1,1,0,0,,,,0.009000000000000001,0.0,0.0,,
2020-01-31,Philippines,1,0,0,0,,,,0.009000000000000001,0.0,0.0,,
2020-02-01,Philippines,1,0,0,0,,,,0.009000000000000001,0.0,0.0,,
2020-02-02,Philippines,2,1,1,1,,,,0.018000000000000002,0.009000000000000001,0.009000000000000001,,
2020-02-03,Philippines,2,0,1,0,,,,0.018000000000000002,0.009000000000000001,0.0,,
2020-02-04,Philippines,2,0,1,0,,,,0.018000000000000002,0.009000000000000001,0.0,,
2020-02-05,Philippines,2,0,1,0,,,,0.018000000000000002,0.009000000000000001,0.0,,
2020-02-06,Philippines,3,1,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-07,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-08,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-09,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-10,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-11,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-12,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-13,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-14,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-15,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-16,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-17,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-18,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-19,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-20,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-21,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-22,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-23,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-24,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-25,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-26,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-27,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-28,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-02-29,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-03-01,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-03-02,Philippines,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,,
2020-03-07,Philippines,5,2,1,0,,,,0.046,0.009000000000000001,0.0,,
2020-03-08,Philippines,6,1,1,0,,,,0.055,0.009000000000000001,0.0,,
2020-03-09,Philippines,10,4,1,0,,,,0.091,0.009000000000000001,0.0,,
2020-03-10,Philippines,33,23,1,0,,,,0.301,0.009000000000000001,0.0,,
2020-03-11,Philippines,33,0,1,0,,,,0.301,0.009000000000000001,0.0,,
2020-03-12,Philippines,49,16,2,1,,,,0.447,0.018000000000000002,0.009000000000000001,,
2020-03-13,Philippines,52,3,2,0,,,,0.475,0.018000000000000002,0.0,,
2020-03-14,Philippines,64,12,6,4,,,,0.584,0.055,0.037000000000000005,,
2020-03-15,Philippines,111,47,6,0,,,,1.013,0.055,0.0,,
2020-03-16,Philippines,140,29,12,6,,,,1.278,0.11,0.055,,
2020-03-17,Philippines,142,2,12,0,,,,1.296,0.11,0.0,,
2020-03-18,Philippines,187,45,14,2,,,,1.706,0.128,0.018000000000000002,,
2020-03-19,Philippines,202,15,17,3,,,,1.8430000000000002,0.155,0.027000000000000003,,
2020-03-20,Philippines,230,28,18,1,,,,2.099,0.16399999999999998,0.009000000000000001,,
2020-03-21,Philippines,230,0,18,0,,,,2.099,0.16399999999999998,0.0,,
2020-03-22,Philippines,380,150,25,7,,,,3.468,0.228,0.064,,
2020-03-23,Philippines,380,0,25,0,,,,3.468,0.228,0.0,,
2020-03-24,Philippines,462,82,33,8,,,,4.216,0.301,0.073,,
2020-03-25,Philippines,552,90,35,2,,,,5.037,0.319,0.018000000000000002,,
2020-03-26,Philippines,636,84,38,3,,,,5.803999999999999,0.34700000000000003,0.027000000000000003,,
2020-03-27,Philippines,707,71,45,7,,,,6.452000000000001,0.41100000000000003,0.064,,
2020-03-28,Philippines,803,96,54,9,,,,7.327999999999999,0.493,0.08199999999999999,,
2020-03-29,Philippines,1075,272,68,14,,,,9.81,0.621,0.128,,
2020-03-30,Philippines,1418,343,71,3,,,,12.94,0.648,0.027000000000000003,,
2020-03-31,Philippines,2084,666,88,17,,,,19.018,0.8029999999999999,0.155,,
2020-04-01,Philippines,2084,0,88,0,,,,19.018,0.8029999999999999,0.0,,
2020-04-02,Philippines,2311,227,96,8,,,,21.089000000000002,0.8759999999999999,0.073,,
2020-04-03,Philippines,2633,322,107,11,,,,24.028000000000002,0.976,0.1,,
2020-04-04,Philippines,3018,385,136,29,,,,27.541,1.2409999999999999,0.265,,
2020-04-05,Philippines,3094,76,144,8,,,,28.235,1.314,0.073,,
2020-04-06,Philippines,3246,152,152,8,,,,29.622,1.3869999999999998,0.073,,
2020-04-07,Philippines,3660,414,163,11,,,,33.4,1.4869999999999999,0.1,,
2020-04-08,Philippines,3764,104,177,14,,,,34.349000000000004,1.615,0.128,,
2020-04-09,Philippines,3870,106,182,5,,,,35.316,1.661,0.046,,
2020-04-10,Philippines,4076,206,203,21,,,,37.196,1.8530000000000002,0.192,,
2020-04-11,Philippines,4076,0,203,0,,,,37.196,1.8530000000000002,0.0,33783.0,
2020-04-12,Philippines,4428,352,247,44,,,,40.408,2.254,0.402,,
2020-04-13,Philippines,4648,220,297,50,,,,42.416000000000004,2.71,0.456,38058.0,
2020-04-14,Philippines,4932,284,315,18,,,,45.008,2.875,0.16399999999999998,39898.0,
2020-04-15,Philippines,5223,291,335,20,,,,47.663000000000004,3.057,0.183,42173.0,
2020-04-16,Philippines,5453,230,349,14,,,,49.762,3.185,0.128,,
2020-04-17,Philippines,5660,207,362,13,,,,51.651,3.303,0.11900000000000001,49571.0,
2020-04-18,Philippines,5878,218,387,25,,,,53.641000000000005,3.532,0.228,52792.0,
2020-04-19,Philippines,6087,209,397,10,,,,55.548,3.623,0.091,,
2020-04-20,Philippines,6259,172,409,12,,,,57.118,3.7319999999999998,0.11,,
2020-04-21,Philippines,6459,200,428,19,,,,58.943000000000005,3.906,0.17300000000000001,,
