Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,1,1,0,0,,,,,,,
2020-03-21,1,0,0,0,,,,,,,
2020-03-22,1,0,0,0,,,,,,,
2020-03-23,17,16,0,0,,,,,,,
2020-03-24,20,3,0,0,,,,,,,
2020-03-25,23,3,0,0,,,,,,,
2020-03-26,30,7,0,0,,,,,,,
2020-03-27,34,4,0,0,,,,,,,
2020-03-28,36,2,0,0,,,,,,,
2020-03-29,39,3,0,0,,,,,,,
2020-03-30,45,6,0,0,,,,,,,
2020-03-31,45,0,0,0,,,,,,,
2020-04-01,60,15,0,0,,,,,,,
2020-04-02,78,18,0,0,,,,,,,
2020-04-03,91,13,0,0,,,,,,,
2020-04-04,114,23,2,2,,,,,,,
2020-04-05,136,22,2,0,,,,,,,
2020-04-06,154,18,3,1,,,,,,,
2020-04-07,165,11,4,1,,,,,,,
2020-04-08,166,1,4,0,,,,,,,
2020-04-09,181,15,5,1,,,,,,,
2020-04-10,191,10,5,0,,,,,,,
2020-04-11,200,9,6,1,,,,,,,
2020-04-12,209,9,6,0,,,,,,,
2020-04-13,218,9,6,0,,,,,,,
2020-04-14,219,1,6,0,,,,,,,
2020-04-15,223,4,7,1,,,,,,,
2020-04-16,223,0,7,0,,,,,,,
2020-04-17,234,11,9,2,,,,,,,
2020-04-18,234,0,9,0,,,,,,,
2020-04-19,239,5,9,0,,,,,,,
2020-04-20,239,0,9,0,,,,,,,
2020-04-21,239,0,10,1,,,,,,,
2020-04-22,239,0,10,0,,,,,,,
2020-04-23,243,4,10,0,,,,,,,
2020-04-24,245,2,10,0,,,,,,,
2020-04-25,245,0,11,1,,,,,,,
2020-04-26,245,0,12,1,,,,,,,
2020-04-27,247,2,13,1,,,,,,,
2020-04-28,247,0,13,0,,,,,,,
2020-04-29,247,0,13,0,,,,,,,
