Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Belgium,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Belgium,1,1,0,0,,,,0.086,0.0,0.0,,
2020-02-05,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-06,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-07,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-08,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-09,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-10,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-11,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-12,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-13,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-14,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-15,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-16,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-17,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-18,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-19,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-20,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-21,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-22,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-23,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-24,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-25,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-26,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-27,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-28,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-02-29,Belgium,1,0,0,0,,,,0.086,0.0,0.0,,
2020-03-01,Belgium,1,0,0,0,,,,0.086,0.0,0.0,56.0,
2020-03-02,Belgium,2,1,0,0,,,,0.17300000000000001,0.0,0.0,338.0,
2020-03-03,Belgium,8,6,0,0,,,,0.69,0.0,0.0,814.0,
2020-03-04,Belgium,13,5,0,0,,,,1.122,0.0,0.0,1448.0,
2020-03-05,Belgium,23,10,0,0,,,,1.985,0.0,0.0,2153.0,
2020-03-06,Belgium,50,27,0,0,,,,4.314,0.0,0.0,3162.0,
2020-03-07,Belgium,109,59,0,0,,,,9.405,0.0,0.0,3570.0,
2020-03-08,Belgium,169,60,0,0,,,,14.582,0.0,0.0,3983.0,
2020-03-09,Belgium,200,31,0,0,,,,17.257,0.0,0.0,4534.0,
2020-03-10,Belgium,239,39,0,0,,,,20.622,0.0,0.0,5271.0,
2020-03-11,Belgium,267,28,0,0,,,,23.038,0.0,0.0,6281.0,
2020-03-12,Belgium,314,47,3,3,,,,27.093000000000004,0.259,0.259,7688.0,
2020-03-13,Belgium,399,85,3,0,,,,34.427,0.259,0.0,10078.0,
2020-03-14,Belgium,559,160,3,0,,,,48.233000000000004,0.259,0.0,12072.0,
2020-03-15,Belgium,689,130,4,1,,,,59.45,0.345,0.086,13206.0,
2020-03-16,Belgium,886,197,4,0,,,,76.44800000000001,0.345,0.0,14864.0,
2020-03-17,Belgium,1085,199,5,1,,,,93.618,0.431,0.086,16814.0,
2020-03-18,Belgium,1243,158,5,0,,,,107.251,0.431,0.0,19202.0,
2020-03-19,Belgium,1486,243,14,9,,,,128.218,1.208,0.777,22111.0,
2020-03-20,Belgium,1795,309,21,7,,,,154.88,1.8119999999999998,0.604,24719.0,
2020-03-21,Belgium,2257,462,37,16,,,,194.743,3.193,1.381,26686.0,
2020-03-22,Belgium,2815,558,67,30,,,,242.89,5.781000000000001,2.589,27852.0,
2020-03-23,Belgium,3401,586,75,8,,,,293.452,6.471,0.69,30520.0,
2020-03-24,Belgium,3743,342,88,13,,,,322.962,7.593,1.122,33826.0,
2020-03-25,Belgium,4269,526,122,34,,,,368.347,10.527000000000001,2.9339999999999997,37465.0,
2020-03-26,Belgium,4937,668,178,56,,,,425.985,15.359000000000002,4.832,41029.0,
2020-03-27,Belgium,6235,1298,220,42,,,,537.982,18.983,3.6239999999999997,45302.0,
2020-03-28,Belgium,7284,1049,289,69,,,,628.494,24.936,5.954,48620.0,
2020-03-29,Belgium,9134,1850,353,64,,,,788.1189999999999,30.458000000000002,5.522,50664.0,
2020-03-30,Belgium,10836,1702,431,78,,,,934.975,37.188,6.73,54039.0,
2020-03-31,Belgium,11899,1063,513,82,,,,1026.695,44.263999999999996,7.075,59534.0,
2020-04-01,Belgium,12775,876,705,192,,,,1102.28,60.83,16.567,64372.0,
2020-04-02,Belgium,13964,1189,828,123,,,,1204.872,71.443,10.613,69124.0,
2020-04-03,Belgium,15348,1384,1011,183,,,,1324.289,87.23299999999999,15.79,74345.0,
2020-04-04,Belgium,16770,1422,1143,132,,,,1446.985,98.62299999999999,11.39,78644.0,
2020-04-05,Belgium,18431,1661,1283,140,,,,1590.3029999999999,110.70299999999999,12.08,81191.0,
2020-04-06,Belgium,19691,1260,1447,164,,,,1699.021,124.853,14.151,85556.0,
2020-04-07,Belgium,20814,1123,1632,185,,,,1795.918,140.816,15.963,91257.0,
2020-04-08,Belgium,22194,1380,2035,403,,,,1914.99,175.588,34.773,97248.0,
2020-04-09,Belgium,23403,1209,2240,205,,,,2019.308,193.27599999999998,17.688,103229.0,
2020-04-10,Belgium,24983,1580,2523,283,,,,2155.637,217.695,24.418000000000003,109492.0,
2020-04-11,Belgium,26667,1684,3019,496,,,,2300.939,260.492,42.797,115428.0,
2020-04-12,Belgium,28018,1351,3346,327,,,,2417.509,288.707,28.215,120328.0,
2020-04-13,Belgium,29647,1629,3600,254,,,,2558.0660000000003,310.623,21.916,124953.0,
2020-04-14,Belgium,30589,942,3903,303,,,,2639.345,336.767,26.144000000000002,130391.0,
2020-04-15,Belgium,31119,530,4157,254,,,,2685.0759999999996,358.68300000000005,21.916,137795.0,
2020-04-16,Belgium,33573,2454,4440,283,,,,2896.817,383.102,24.418000000000003,145630.0,
2020-04-17,Belgium,34809,1236,4857,417,,,,3003.4640000000004,419.082,35.98,153484.0,
2020-04-18,Belgium,36138,1329,5163,306,,,,3118.136,445.485,26.403000000000002,160836.0,
2020-04-19,Belgium,37183,1045,5453,290,,,,3208.303,470.50699999999995,25.022,165766.0,
2020-04-20,Belgium,38496,1313,5683,230,,,,3321.594,490.353,19.845,,
2020-04-21,Belgium,39983,1487,5828,145,,,,3449.8990000000003,502.86400000000003,12.511,,
