Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Italy,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Italy,3,3,0,0,,,,0.05,0.0,0.0,,
2020-02-01,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-02,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-03,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-04,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-05,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-06,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-07,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-08,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-09,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-10,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-11,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-12,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-13,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-14,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-15,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-16,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-17,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-18,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-19,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-20,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-21,Italy,3,0,0,0,,,,0.05,0.0,0.0,,
2020-02-22,Italy,17,14,0,0,,,,0.281,0.0,0.0,,
2020-02-23,Italy,79,62,2,2,,,,1.307,0.033,0.033,,
2020-02-24,Italy,132,53,2,0,,,,2.1830000000000003,0.033,0.0,4324.0,
2020-02-25,Italy,229,97,6,4,,,,3.7880000000000003,0.099,0.066,8623.0,
