Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Sweden,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Sweden,1,1,0,0,,,,0.099,0.0,0.0,,
2020-02-02,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-03,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-04,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-05,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-06,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-07,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-08,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-09,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-10,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-11,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-12,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-13,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-14,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-15,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-16,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-17,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-18,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-19,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-20,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-21,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-22,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
2020-02-23,Sweden,1,0,0,0,,,,0.099,0.0,0.0,,
