Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Guernsey,1,1,0,0,,,,,,,,
2020-03-21,Guernsey,1,0,0,0,,,,,,,,
2020-03-22,Guernsey,1,0,0,0,,,,,,,,
2020-03-23,Guernsey,17,16,0,0,,,,,,,,
2020-03-24,Guernsey,20,3,0,0,,,,,,,,
2020-03-25,Guernsey,23,3,0,0,,,,,,,,
2020-03-26,Guernsey,30,7,0,0,,,,,,,,
2020-03-27,Guernsey,34,4,0,0,,,,,,,,
2020-03-28,Guernsey,36,2,0,0,,,,,,,,
2020-03-29,Guernsey,39,3,0,0,,,,,,,,
2020-03-30,Guernsey,45,6,0,0,,,,,,,,
2020-03-31,Guernsey,45,0,0,0,,,,,,,,
2020-04-01,Guernsey,60,15,0,0,,,,,,,,
2020-04-02,Guernsey,78,18,0,0,,,,,,,,
2020-04-03,Guernsey,91,13,0,0,,,,,,,,
2020-04-04,Guernsey,114,23,2,2,,,,,,,,
2020-04-05,Guernsey,136,22,2,0,,,,,,,,
2020-04-06,Guernsey,154,18,3,1,,,,,,,,
2020-04-07,Guernsey,165,11,4,1,,,,,,,,
2020-04-08,Guernsey,166,1,4,0,,,,,,,,
2020-04-09,Guernsey,181,15,5,1,,,,,,,,
2020-04-10,Guernsey,191,10,5,0,,,,,,,,
2020-04-11,Guernsey,200,9,6,1,,,,,,,,
2020-04-12,Guernsey,209,9,6,0,,,,,,,,
2020-04-13,Guernsey,218,9,6,0,,,,,,,,
2020-04-14,Guernsey,219,1,6,0,,,,,,,,
2020-04-15,Guernsey,223,4,7,1,,,,,,,,
2020-04-16,Guernsey,223,0,7,0,,,,,,,,
2020-04-17,Guernsey,234,11,9,2,,,,,,,,
2020-04-18,Guernsey,234,0,9,0,,,,,,,,
2020-04-19,Guernsey,239,5,9,0,,,,,,,,
2020-04-20,Guernsey,239,0,9,0,,,,,,,,
2020-04-21,Guernsey,239,0,10,1,,,,,,,,
