Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Jersey,5,5,0,0,,,,,,,,
2020-03-21,Jersey,12,7,0,0,,,,,,,,
2020-03-22,Jersey,12,0,0,0,,,,,,,,
2020-03-23,Jersey,15,3,0,0,,,,,,,,
2020-03-24,Jersey,18,3,0,0,,,,,,,,
2020-03-25,Jersey,18,0,0,0,,,,,,,,
2020-03-26,Jersey,18,0,0,0,,,,,,,,
2020-03-27,Jersey,32,14,1,1,,,,,,,,
2020-03-28,Jersey,52,20,1,0,,,,,,,,
2020-03-29,Jersey,61,9,1,0,,,,,,,,
2020-03-30,Jersey,63,2,2,1,,,,,,,,
2020-03-31,Jersey,63,0,2,0,,,,,,,,
2020-04-01,Jersey,81,18,2,0,,,,,,,,
2020-04-02,Jersey,81,0,2,0,,,,,,,,
2020-04-03,Jersey,81,0,2,0,,,,,,,,
2020-04-04,Jersey,118,37,2,0,,,,,,,,
2020-04-05,Jersey,123,5,3,1,,,,,,,,
2020-04-06,Jersey,155,32,3,0,,,,,,,,
2020-04-07,Jersey,169,14,3,0,,,,,,,,
2020-04-08,Jersey,170,1,3,0,,,,,,,,
2020-04-09,Jersey,170,0,3,0,,,,,,,,
2020-04-10,Jersey,183,13,3,0,,,,,,,,
2020-04-11,Jersey,198,15,4,1,,,,,,,,
2020-04-12,Jersey,198,0,4,0,,,,,,,,
2020-04-13,Jersey,213,15,4,0,,,,,,,,
2020-04-14,Jersey,217,4,4,0,,,,,,,,
2020-04-15,Jersey,217,0,4,0,,,,,,,,
2020-04-16,Jersey,217,0,6,2,,,,,,,,
2020-04-17,Jersey,223,6,10,4,,,,,,,,
2020-04-18,Jersey,224,1,11,1,,,,,,,,
2020-04-19,Jersey,245,21,12,1,,,,,,,,
2020-04-20,Jersey,249,4,12,0,,,,,,,,
2020-04-21,Jersey,249,0,14,2,,,,,,,,
