Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Oman,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Oman,2,2,0,0,,,,0.392,0.0,0.0,,
2020-02-26,Oman,4,2,0,0,,,,0.7829999999999999,0.0,0.0,,
2020-02-27,Oman,4,0,0,0,,,,0.7829999999999999,0.0,0.0,,
2020-02-28,Oman,6,2,0,0,,,,1.175,0.0,0.0,,
2020-02-29,Oman,6,0,0,0,,,,1.175,0.0,0.0,,
2020-03-01,Oman,6,0,0,0,,,,1.175,0.0,0.0,,
2020-03-02,Oman,6,0,0,0,,,,1.175,0.0,0.0,,
2020-03-03,Oman,7,1,0,0,,,,1.371,0.0,0.0,,
2020-03-05,Oman,15,8,0,0,,,,2.937,0.0,0.0,,
2020-03-06,Oman,16,1,0,0,,,,3.133,0.0,0.0,,
2020-03-10,Oman,18,2,0,0,,,,3.525,0.0,0.0,,
2020-03-11,Oman,18,0,0,0,,,,3.525,0.0,0.0,,
2020-03-14,Oman,20,2,0,0,,,,3.9160000000000004,0.0,0.0,,
2020-03-15,Oman,20,0,0,0,,,,3.9160000000000004,0.0,0.0,,
2020-03-16,Oman,22,2,0,0,,,,4.308,0.0,0.0,,
2020-03-17,Oman,24,2,0,0,,,,4.7,0.0,0.0,,
2020-03-18,Oman,24,0,0,0,,,,4.7,0.0,0.0,,
2020-03-19,Oman,39,15,0,0,,,,7.6370000000000005,0.0,0.0,,
2020-03-20,Oman,39,0,0,0,,,,7.6370000000000005,0.0,0.0,,
2020-03-21,Oman,48,9,0,0,,,,9.4,0.0,0.0,,
2020-03-22,Oman,52,4,0,0,,,,10.183,0.0,0.0,,
2020-03-23,Oman,55,3,0,0,,,,10.77,0.0,0.0,,
2020-03-24,Oman,66,11,0,0,,,,12.924000000000001,0.0,0.0,,
2020-03-25,Oman,84,18,0,0,,,,16.449,0.0,0.0,,
2020-03-26,Oman,99,15,0,0,,,,19.387,0.0,0.0,,
2020-03-27,Oman,109,10,0,0,,,,21.345,0.0,0.0,,
2020-03-28,Oman,131,22,0,0,,,,25.653000000000002,0.0,0.0,,
2020-03-29,Oman,152,21,0,0,,,,29.765,0.0,0.0,,
2020-03-30,Oman,167,15,0,0,,,,32.703,0.0,0.0,,
2020-03-31,Oman,179,12,0,0,,,,35.053000000000004,0.0,0.0,,
2020-04-01,Oman,192,13,1,1,,,,37.598,0.196,0.196,,
2020-04-02,Oman,210,18,1,0,,,,41.123000000000005,0.196,0.0,,
2020-04-03,Oman,231,21,1,0,,,,45.235,0.196,0.0,,
2020-04-04,Oman,231,0,1,0,,,,45.235,0.196,0.0,,
2020-04-05,Oman,277,46,2,1,,,,54.243,0.392,0.196,,
2020-04-06,Oman,298,21,2,0,,,,58.356,0.392,0.0,,
2020-04-07,Oman,371,73,2,0,,,,72.65100000000001,0.392,0.0,,
2020-04-08,Oman,419,48,2,0,,,,82.05,0.392,0.0,,
2020-04-09,Oman,419,0,2,0,,,,82.05,0.392,0.0,,
2020-04-10,Oman,457,38,3,1,,,,89.492,0.5870000000000001,0.196,,
2020-04-11,Oman,484,27,3,0,,,,94.779,0.5870000000000001,0.0,,
2020-04-12,Oman,546,62,3,0,,,,106.92,0.5870000000000001,0.0,,
2020-04-13,Oman,599,53,4,1,,,,117.29899999999999,0.7829999999999999,0.196,,
2020-04-14,Oman,813,214,4,0,,,,159.205,0.7829999999999999,0.0,,
2020-04-15,Oman,910,97,4,0,,,,178.2,0.7829999999999999,0.0,,
2020-04-16,Oman,910,0,4,0,,,,178.2,0.7829999999999999,0.0,,
2020-04-17,Oman,1019,109,4,0,,,,199.545,0.7829999999999999,0.0,,
2020-04-18,Oman,1069,50,6,2,,,,209.33599999999998,1.175,0.392,,
2020-04-19,Oman,1180,111,6,0,,,,231.07299999999998,1.175,0.0,,
2020-04-20,Oman,1266,86,7,1,,,,247.91299999999998,1.371,0.196,,
2020-04-21,Oman,1508,242,8,1,,,,295.303,1.567,0.196,,
