Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,San Marino,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-28,San Marino,1,1,0,0,,,,29.465,0.0,0.0,,
2020-02-29,San Marino,1,0,0,0,,,,29.465,0.0,0.0,,
2020-03-01,San Marino,1,0,0,0,,,,29.465,0.0,0.0,,
2020-03-02,San Marino,8,7,1,1,,,,235.72400000000002,29.465,29.465,,
2020-03-04,San Marino,10,2,1,0,,,,294.655,29.465,0.0,,
2020-03-05,San Marino,15,5,1,0,,,,441.98199999999997,29.465,0.0,,
2020-03-06,San Marino,22,7,1,0,,,,648.241,29.465,0.0,,
2020-03-07,San Marino,23,1,1,0,,,,677.706,29.465,0.0,,
2020-03-08,San Marino,26,3,1,0,,,,766.1030000000001,29.465,0.0,,
2020-03-09,San Marino,37,11,1,0,,,,1090.223,29.465,0.0,,
2020-03-10,San Marino,49,12,2,1,,,,1443.809,58.931000000000004,29.465,,
2020-03-11,San Marino,62,13,2,0,,,,1826.861,58.931000000000004,0.0,,
2020-03-12,San Marino,66,4,3,1,,,,1944.723,88.396,29.465,,
2020-03-13,San Marino,67,1,5,2,,,,1974.1879999999999,147.327,58.931000000000004,,
2020-03-14,San Marino,73,6,5,0,,,,2150.981,147.327,0.0,,
2020-03-15,San Marino,92,19,5,0,,,,2710.8259999999996,147.327,0.0,,
2020-03-16,San Marino,98,6,7,2,,,,2887.619,206.25799999999998,58.931000000000004,,
2020-03-17,San Marino,102,4,9,2,,,,3005.4809999999998,265.189,58.931000000000004,,
2020-03-18,San Marino,104,2,11,2,,,,3064.4120000000003,324.12,58.931000000000004,,
2020-03-19,San Marino,109,5,14,3,,,,3211.739,412.517,88.396,,
2020-03-20,San Marino,126,17,14,0,,,,3712.652,412.517,0.0,,
2020-03-21,San Marino,151,25,14,0,,,,4449.29,412.517,0.0,,
2020-03-22,San Marino,151,0,20,6,,,,4449.29,589.31,176.793,,
2020-03-23,San Marino,151,0,20,0,,,,4449.29,589.31,0.0,,
2020-03-24,San Marino,187,36,20,0,,,,5510.048000000001,589.31,0.0,,
2020-03-25,San Marino,187,0,21,1,,,,5510.048000000001,618.775,29.465,,
2020-03-26,San Marino,208,21,21,0,,,,6128.823,618.775,0.0,,
2020-03-27,San Marino,218,10,21,0,,,,6423.478,618.775,0.0,,
2020-03-28,San Marino,223,5,21,0,,,,6570.806,618.775,0.0,,
2020-03-29,San Marino,224,1,22,1,,,,6600.271,648.241,29.465,,
2020-03-30,San Marino,229,5,24,2,,,,6747.599,707.172,58.931000000000004,,
2020-03-31,San Marino,229,0,25,1,,,,6747.599,736.637,29.465,,
2020-04-01,San Marino,230,1,26,1,,,,6777.064,766.1030000000001,29.465,,
2020-04-02,San Marino,236,6,26,0,,,,6953.857,766.1030000000001,0.0,,
2020-04-03,San Marino,245,9,30,4,,,,7219.045999999999,883.965,117.86200000000001,,
2020-04-04,San Marino,251,6,32,2,,,,7395.839,942.8960000000001,58.931000000000004,,
2020-04-05,San Marino,259,8,32,0,,,,7631.563,942.8960000000001,0.0,,
2020-04-06,San Marino,266,7,32,0,,,,7837.821999999999,942.8960000000001,0.0,,
2020-04-07,San Marino,277,11,32,0,,,,8161.941999999999,942.8960000000001,0.0,,
2020-04-08,San Marino,279,2,34,2,,,,8220.873,1001.827,58.931000000000004,,
2020-04-09,San Marino,308,29,34,0,,,,9075.373,1001.827,0.0,,
2020-04-10,San Marino,333,25,34,0,,,,9812.01,1001.827,0.0,,
2020-04-11,San Marino,344,11,34,0,,,,10136.131,1001.827,0.0,,
2020-04-12,San Marino,356,12,35,1,,,,10489.716999999999,1031.292,29.465,,
2020-04-13,San Marino,356,0,35,0,,,,10489.716999999999,1031.292,0.0,,
2020-04-14,San Marino,356,0,36,1,,,,10489.716999999999,1060.758,29.465,,
2020-04-15,San Marino,372,16,36,0,,,,10961.163999999999,1060.758,0.0,,
2020-04-16,San Marino,392,20,36,0,,,,11550.473999999998,1060.758,0.0,,
2020-04-17,San Marino,426,34,38,2,,,,12552.301000000001,1119.6889999999999,58.931000000000004,,
2020-04-18,San Marino,435,9,39,1,,,,12817.491000000002,1149.154,29.465,,
2020-04-19,San Marino,455,20,39,0,,,,13406.801000000001,1149.154,0.0,,
2020-04-20,San Marino,461,6,39,0,,,,13583.594,1149.154,0.0,,
2020-04-21,San Marino,462,1,39,0,,,,13613.059,1149.154,0.0,,
