Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Qatar,0,0,0,0,,,,0.0,0.0,0.0,,
