Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Indonesia,0,0,0,0,,,,0.0,0.0,0.0,,
