Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Austria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Austria,0,0,0,0,,,,0.0,0.0,0.0,218.0,
2020-02-26,Austria,2,2,0,0,,,,0.222,0.0,0.0,321.0,
2020-02-27,Austria,2,0,0,0,,,,0.222,0.0,0.0,447.0,
2020-02-28,Austria,5,3,0,0,,,,0.555,0.0,0.0,763.0,
2020-02-29,Austria,7,2,0,0,,,,0.777,0.0,0.0,1649.0,
2020-03-01,Austria,10,3,0,0,,,,1.11,0.0,0.0,,
2020-03-02,Austria,14,4,0,0,,,,1.554,0.0,0.0,,
2020-03-03,Austria,18,4,0,0,,,,1.999,0.0,0.0,2683.0,
2020-03-04,Austria,24,6,0,0,,,,2.665,0.0,0.0,3138.0,
2020-03-05,Austria,29,5,0,0,,,,3.22,0.0,0.0,3711.0,
2020-03-06,Austria,41,12,0,0,,,,4.552,0.0,0.0,4000.0,
2020-03-07,Austria,74,33,0,0,,,,8.216000000000001,0.0,0.0,4308.0,
2020-03-08,Austria,99,25,0,0,,,,10.992,0.0,0.0,4509.0,
2020-03-09,Austria,102,3,0,0,,,,11.325,0.0,0.0,4734.0,
2020-03-10,Austria,131,29,0,0,,,,14.545,0.0,0.0,5026.0,
2020-03-11,Austria,182,51,0,0,,,,20.208,0.0,0.0,5362.0,
2020-03-12,Austria,246,64,0,0,,,,27.314,0.0,0.0,5869.0,
2020-03-13,Austria,361,115,1,1,,,,40.083,0.111,0.111,6582.0,
2020-03-14,Austria,504,143,1,0,,,,55.96,0.111,0.0,7467.0,
2020-03-15,Austria,655,151,1,0,,,,72.726,0.111,0.0,8167.0,
2020-03-16,Austria,860,205,1,0,,,,95.488,0.111,0.0,8490.0,
2020-03-17,Austria,1016,156,3,2,,,,112.809,0.33299999999999996,0.222,10278.0,
2020-03-18,Austria,1332,316,3,0,,,,147.895,0.33299999999999996,0.0,11977.0,
2020-03-19,Austria,1646,314,4,1,,,,182.75900000000001,0.444,0.111,13724.0,
2020-03-20,Austria,2196,550,6,2,,,,243.827,0.6659999999999999,0.222,15613.0,
2020-03-21,Austria,2649,453,6,0,,,,294.124,0.6659999999999999,0.0,18545.0,
2020-03-22,Austria,3024,375,8,2,,,,335.76099999999997,0.888,0.222,21368.0,
2020-03-23,Austria,3631,607,16,8,,,,403.158,1.777,0.888,23429.0,
2020-03-24,Austria,4486,855,25,9,,,,498.09,2.7760000000000002,0.9990000000000001,28391.0,
2020-03-25,Austria,5282,796,30,5,,,,586.472,3.3310000000000004,0.555,32407.0,
2020-03-26,Austria,5888,606,34,4,,,,653.757,3.775,0.444,35995.0,
2020-03-27,Austria,7029,1141,52,18,,,,780.445,5.774,1.999,39552.0,
2020-03-28,Austria,7697,668,68,16,,,,854.6139999999999,7.55,1.777,42750.0,
2020-03-29,Austria,8291,594,68,0,,,,920.568,7.55,0.0,46441.0,
2020-03-30,Austria,8813,522,86,18,,,,978.5260000000001,9.549,1.999,49455.0,
2020-03-31,Austria,9618,805,108,22,,,,1067.907,11.991,2.443,52344.0,
2020-04-01,Austria,10182,564,128,20,,,,1130.529,14.212,2.221,55863.0,
2020-04-02,Austria,10711,529,146,18,,,,1189.265,16.211,1.999,92190.0,
2020-04-03,Austria,11129,418,158,12,,,,1235.677,17.543,1.3319999999999999,98343.0,
2020-04-04,Austria,11525,396,168,10,,,,1279.646,18.653,1.11,104134.0,
2020-04-05,Austria,11766,241,186,18,,,,1306.404,20.651999999999997,1.999,108416.0,
2020-04-06,Austria,11983,217,204,18,,,,1330.4979999999998,22.651,1.999,111296.0,
2020-04-07,Austria,12297,314,220,16,,,,1365.362,24.427,1.777,115235.0,
2020-04-08,Austria,12640,343,243,23,,,,1403.4460000000001,26.980999999999998,2.5540000000000003,120755.0,
2020-04-09,Austria,12969,329,273,30,,,,1439.976,30.311999999999998,3.3310000000000004,126287.0,
2020-04-10,Austria,13248,279,295,22,,,,1470.954,32.754,2.443,134743.0,
2020-04-11,Austria,13560,312,319,24,,,,1505.596,35.419000000000004,2.665,140975.0,
2020-04-12,Austria,13807,247,337,18,,,,1533.021,37.418,1.999,144877.0,
2020-04-13,Austria,13937,130,350,13,,,,1547.455,38.861,1.443,148412.0,
2020-04-14,Austria,14043,106,368,18,,,,1559.225,40.86,1.999,151796.0,
2020-04-15,Austria,14234,191,384,16,,,,1580.432,42.636,1.777,156801.0,
2020-04-16,Austria,14370,136,393,9,,,,1595.5320000000002,43.636,0.9990000000000001,162816.0,
2020-04-17,Austria,14448,78,410,17,,,,1604.193,45.523,1.8880000000000001,169272.0,
2020-04-18,Austria,14603,155,431,21,,,,1621.4029999999998,47.855,2.332,175932.0,
2020-04-19,Austria,14662,59,443,12,,,,1627.953,49.187,1.3319999999999999,179243.0,
2020-04-20,Austria,14710,48,452,9,,,,1633.283,50.187,0.9990000000000001,182949.0,
2020-04-21,Austria,14783,73,470,18,,,,1641.388,52.185,1.999,,
