Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Lebanon,0,0,0,0,,,,0.0,0.0,0.0,,
